hafasId;rmvId;name;nameLong;city;district;lat;lng
3065051;65051;Bremer Straße;Frankfurt (Main) Bremer Straße;Stadt Frankfurt a.M;Westend-Nord;50,12672532;8,671254365
3001301;1301;Dornbusch;Frankfurt (Main) Dornbusch;Stadt Frankfurt a.M;Westend-Nord;50,13863514;8,670445223
3001975;1975;Dornbusch/Am Grünhof;Frankfurt (Main) Dornbusch/Am Grünhof;Stadt Frankfurt a.M;Westend-Nord;50,13616525;8,671301466
3000410;410;Grüneburgpark;Frankfurt (Main) Grüneburgpark;Stadt Frankfurt a.M;Westend-Nord;50,13146243;8,661613434
3000402;402;Grüneburgweg;Frankfurt (Main) Grüneburgweg;Stadt Frankfurt a.M;Westend-Nord;50,12144255;8,675695299
3000403;403;Holzhausenstraße;Frankfurt (Main) Holzhausenstraße;Stadt Frankfurt a.M;Westend-Nord;50,12670578;8,673883616
3000408;408;Lessing-Gymnasium;Frankfurt (Main) Lessing-Gymnasium;Stadt Frankfurt a.M;Westend-Nord;50,12494147;8,67309853
3001500;1500;Max-Horkheimer-Straße;Frankfurt (Main) Max-Horkheimer-Straße;Stadt Frankfurt a.M;Westend-Nord;50,12925676;8,669908378
3000404;404;Miquel-/Adickesallee;Frankfurt (Main) Miquel-/Adickesallee;Stadt Frankfurt a.M;Westend-Nord;50,13165463;8,672185574
3000411;411;Miquel-/Hansaallee;Frankfurt (Main) Miquel-/Hansaallee;Stadt Frankfurt a.M;Westend-Nord;50,13155687;8,669417
3000214;214;Mitscherlichplatz;Frankfurt (Main) Mitscherlichplatz;Stadt Frankfurt a.M;Westend-Nord;50,12351577;8,664969724
3001302;1302;Platenstraße;Frankfurt (Main) Platenstraße;Stadt Frankfurt a.M;Westend-Nord;50,13677787;8,665464431
3001258;1258;Plieningerstraße;Frankfurt (Main) Plieningerstraße;Stadt Frankfurt a.M;Westend-Nord;50,13366655;8,668353436
3001951;1951;Uni Campus Westend;Frankfurt (Main) Uni Campus Westend;Stadt Frankfurt a.M;Westend-Nord;50,12407378;8,668307974
3000413;413;Adlerflychtplatz;Frankfurt (Main) Adlerflychtplatz;Stadt Frankfurt a.M;Nordend-West;50,1241377;8,68148038
3000415;415;Bertramstraße;Frankfurt (Main) Bertramstraße;Stadt Frankfurt a.M;Nordend-West;50,13220007;8,677538581
3000412;412;Bornwiesenweg;Frankfurt (Main) Bornwiesenweg;Stadt Frankfurt a.M;Nordend-West;50,12167163;8,680489985
3065055;65055;Cronstettenstraße;Frankfurt (Main) Cronstettenstraße;Stadt Frankfurt a.M;Nordend-West;50,12933185;8,683949232
3000420;420;Deutsche Nationalbibliothek;Frankfurt (Main) Deutsche Nationalbibliothek;Stadt Frankfurt a.M;Nordend-West;50,13163382;8,68411586
3001430;1430;Friedberger Warte;Frankfurt (Main) Friedberger Warte;Stadt Frankfurt a.M;Nordend-West;50,13953847;8,698443788
3000419;419;Glauburgstraße;Frankfurt (Main) Glauburgstraße;Stadt Frankfurt a.M;Nordend-West;50,1265409;8,685799631
3001401;1401;Hauptfriedhof;Frankfurt (Main) Hauptfriedhof;Stadt Frankfurt a.M;Nordend-West;50,13675037;8,684515723
3000504;504;Hessendenkmal;Frankfurt (Main) Hessendenkmal;Stadt Frankfurt a.M;Nordend-West;50,11889995;8,689429231
3001945;1945;Holzhausen-Park;Frankfurt (Main) Holzhausen-Park;Stadt Frankfurt a.M;Nordend-West;50,12712794;8,676957396
3000414;414;Hynspergstraße;Frankfurt (Main) Hynspergstraße;Stadt Frankfurt a.M;Nordend-West;50,12781596;8,681931411
3000515;515;Münzenberger Straße;Frankfurt (Main) Münzenberger Straße;Stadt Frankfurt a.M;Nordend-West;50,13271551;8,695255896
3000416;416;Musterschule;Frankfurt (Main) Musterschule;Stadt Frankfurt a.M;Nordend-West;50,12175026;8,686236564
3000507;507;Nibelungenplatz/FH;Frankfurt (Main) Nibelungenplatz/FH;Stadt Frankfurt a.M;Nordend-West;50,12901507;8,693195628
3000421;421;Richard-Wagner-Straße;Frankfurt (Main) Richard-Wagner-Straße;Stadt Frankfurt a.M;Nordend-West;50,13072803;8,688261641
3000417;417;Scheffeleck;Frankfurt (Main) Scheffeleck;Stadt Frankfurt a.M;Nordend-West;50,11966776;8,687438724
3060793;60793;Unterweg;Frankfurt (Main) Unterweg;Stadt Frankfurt a.M;Nordend-West;50,11918321;8,684463618
3001966;1966;Wasserpark;Frankfurt (Main) Wasserpark;Stadt Frankfurt a.M;Nordend-West;50,13567693;8,696635776
3001502;1502;Burgstraße;Frankfurt (Main) Burgstraße;Stadt Frankfurt a.M;Nordend-Ost;50,12760643;8,704672286
3000505;505;Friedberger Platz;Frankfurt (Main) Friedberger Platz;Stadt Frankfurt a.M;Nordend-Ost;50,12332041;8,691763815
3001431;1431;Friedhof Bornheim;Frankfurt (Main) Friedhof Bornheim;Stadt Frankfurt a.M;Nordend-Ost;50,13629284;8,701863181
3000509;509;Günthersburgallee;Frankfurt (Main) Günthersburgallee;Stadt Frankfurt a.M;Nordend-Ost;50,12657182;8,697420649
3001501;1501;Günthersburgpark;Frankfurt (Main) Günthersburgpark;Stadt Frankfurt a.M;Nordend-Ost;50,12882605;8,699979698
3001506;1506;Hartmann-Ibach-Straße;Frankfurt (Main) Hartmann-Ibach-Straße;Stadt Frankfurt a.M;Nordend-Ost;50,12755694;8,702896509
3000502;502;Höhenstraße;Frankfurt (Main) Höhenstraße;Stadt Frankfurt a.M;Nordend-Ost;50,12303134;8,701540204
3000512;512;Merianplatz;Frankfurt (Main) Merianplatz;Stadt Frankfurt a.M;Nordend-Ost;50,12002136;8,695308684
3000506;506;Rohrbachstr./Friedberger Ldstr;Frankfurt (Main) Rohrbach/Friedberger Landstraße;Stadt Frankfurt a.M;Nordend-Ost;50,12747505;8,692184596
3000508;508;Rothschildallee;Frankfurt (Main) Rothschildallee;Stadt Frankfurt a.M;Nordend-Ost;50,12798644;8,695188092
3001947;1947;Usinger Straße;Frankfurt (Main) Usinger Straße;Stadt Frankfurt a.M;Nordend-Ost;50,13119588;8,70558721
3001541;1541;Daimlerstraße;Frankfurt (Main) Daimlerstraße;Stadt Frankfurt a.M;Ostend;50,12231449;8,739817167
3001516;1516;Freiligrathstraße;Frankfurt (Main) Freiligrathstraße;Stadt Frankfurt a.M;Ostend;50,12220841;8,71027094
3000520;520;Habsburgerallee;Frankfurt (Main) Habsburgerallee;Stadt Frankfurt a.M;Ostend;50,11725003;8,708385406
3000517;517;Habsburger-/Wittelsbacherallee;Frankfurt (Main) Habsburger-/Wittelsbacherallee;Stadt Frankfurt a.M;Ostend;50,12018143;8,705053648
3001552;1552;Hafenmühlenweg;Frankfurt (Main) Hafenmühlenweg;Stadt Frankfurt a.M;Ostend;50,1093056;8,724300582
3001554;1554;Intzestraße;Frankfurt (Main) Intzestraße;Stadt Frankfurt a.M;Ostend;50,11148973;8,731739473
3001555;1555;Kaiserleibrücke;Frankfurt (Main) Kaiserleibrücke;Stadt Frankfurt a.M;Ostend;50,11222206;8,733524867
3001551;1551;Mühlenwerke;Frankfurt (Main) Mühlenwerke;Stadt Frankfurt a.M;Ostend;50,10797341;8,719876841
3000526;526;Ostbahnhof;Frankfurt (Main) Ostbahnhof;Stadt Frankfurt a.M;Ostend;50,11271747;8,707811826
3000528;528;Ostbahnhof/Danziger Platz;Frankfurt (Main) Ostbahnhof/Danziger Platz;Stadt Frankfurt a.M;Ostend;50,11366112;8,707680244
3001476;1476;Ostbahnhof/Honsellstraße;Frankfurt (Main) Ostbahnhof/Honsellstraße;Stadt Frankfurt a.M;Ostend;50,11137998;8,708630833
3000529;529;Ostbahnhof/Sonnemannstraße;Frankfurt (Main) Ostbahnhof/Sonnemannstraße;Stadt Frankfurt a.M;Ostend;50,11164173;8,70548368
3000525;525;Ostendstraße;Frankfurt (Main) Ostendstraße;Stadt Frankfurt a.M;Ostend;50,11249208;8,697062182
3001538;1538;Osthafenplatz;Frankfurt (Main) Osthafenplatz;Stadt Frankfurt a.M;Ostend;50,11210361;8,714008888
3001520;1520;Parlamentsplatz;Frankfurt (Main) Parlamentsplatz;Stadt Frankfurt a.M;Ostend;50,1196068;8,712509906
3001540;1540;Riederhöfe;Frankfurt (Main) Riederhöfe;Stadt Frankfurt a.M;Ostend;50,11735355;8,728798394
3001539;1539;Schwedlerstraße;Frankfurt (Main) Schwedlerstraße;Stadt Frankfurt a.M;Ostend;50,11396902;8,719492265
3001553;1553;Staustufe Ost;Frankfurt (Main) Staustufe Ost;Stadt Frankfurt a.M;Ostend;50,11011222;8,727035986
3001965;1965;Union Gelände;Frankfurt (Main) Union Gelände;Stadt Frankfurt a.M;Ostend;50,11572532;8,724571231
3000516;516;Waldschmidtstraße;Frankfurt (Main) Waldschmidtstraße;Stadt Frankfurt a.M;Ostend;50,11823995;8,701709875
3000518;518;Zobelstraße;Frankfurt (Main) Zobelstraße;Stadt Frankfurt a.M;Ostend;50,11290728;8,701155885
3000511;511;Zoo;Frankfurt (Main) Zoo;Stadt Frankfurt a.M;Ostend;50,11552614;8,698720769
3060774;60774;Bodenweg;Frankfurt (Main) Bodenweg;Stadt Frankfurt a.M;Bornheim;50,14218993;8,701658585
3001507;1507;Bornheim Mitte;Frankfurt (Main) Bornheim Mitte;Stadt Frankfurt a.M;Bornheim;50,12633841;8,708064366
3001512;1512;Comeniusstraße;Frankfurt (Main) Comeniusstraße;Stadt Frankfurt a.M;Bornheim;50,13354352;8,706048322
3001522;1522;Eissporthalle/Festplatz;Frankfurt (Main) Eissporthalle/Festplatz;Stadt Frankfurt a.M;Bornheim;50,12344896;8,717506996
3060826;60826;Eissporthalle/Nordeingang;Frankfurt (Main) Eissporthalle/Nordeingang;Stadt Frankfurt a.M;Bornheim;50,12490802;8,718589152
3001518;1518;Ernst-May-Platz;Frankfurt (Main) Ernst-May-Platz;Stadt Frankfurt a.M;Bornheim;50,1264045;8,716580565
3001565;1565;Löwengasse;Frankfurt (Main) Löwengasse;Stadt Frankfurt a.M;Bornheim;50,12796263;8,717732101
3001577;1577;Panoramabad;Frankfurt (Main) Panoramabad;Stadt Frankfurt a.M;Bornheim;50,13129613;8,716957207
3001503;1503;Prüfling;Frankfurt (Main) Prüfling;Stadt Frankfurt a.M;Bornheim;50,12860156;8,707113562
3001517;1517;Saalburg-/Wittelsbacherallee;Frankfurt (Main) Saalburg-/Wittelsbacherallee;Stadt Frankfurt a.M;Bornheim;50,1246165;8,713360832
3001545;1545;Seckbacher Landstraße;Frankfurt (Main) Seckbacher Landstraße;Stadt Frankfurt a.M;Bornheim;50,13450227;8,711930933
3001504;1504;Weidenbornstraße;Frankfurt (Main) Weidenbornstraße;Stadt Frankfurt a.M;Bornheim;50,13144042;8,709865434
3001448;1448;Wetzlarer Straße;Frankfurt (Main) Wetzlarer Straße;Stadt Frankfurt a.M;Bornheim;50,14259928;8,696577921
3000025;25;Baseler Platz;Frankfurt (Main) Baseler Platz;Stadt Frankfurt a.M;Gutleutviertel;50,10299058;8,664861567
3060816;60816;Behördenzentrum Gutleut;Frankfurt (Main) Behördenzentrum Gutleut;Stadt Frankfurt a.M;Gutleutviertel;50,10468769;8,661061597
3000121;121;Briefzentrum;Frankfurt (Main) Briefzentrum;Stadt Frankfurt a.M;Gutleutviertel;50,09274139;8,63502715
3001977;1977;Camberger Straße;Frankfurt (Main) Camberger Straße;Stadt Frankfurt a.M;Gutleutviertel;50,09866043;8,650719656
3000120;120;Erntestraße;Frankfurt (Main) Erntestraße;Stadt Frankfurt a.M;Gutleutviertel;50,09436183;8,638592487
3000016;16;Gutleut-/Heilbronner Straße;Frankfurt (Main) Gutleut-/Heilbronner Straße;Stadt Frankfurt a.M;Gutleutviertel;50,09975901;8,654303699
3000017;17;Hafenstraße;Frankfurt (Main) Hafenstraße;Stadt Frankfurt a.M;Gutleutviertel;50,10313037;8,657326554
3000119;119;Halmstraße;Frankfurt (Main) Halmstraße;Stadt Frankfurt a.M;Gutleutviertel;50,09600015;8,64215793
3007011;7011;Hauptbahnhof Südseite;Frankfurt (Main) Hauptbahnhof Südseite;Stadt Frankfurt a.M;Gutleutviertel;50,10571244;8,664101677
3000015;15;Heilbronner Straße;Frankfurt (Main) Heilbronner Straße;Stadt Frankfurt a.M;Gutleutviertel;50,10205287;8,654748419
3000117;117;Johanna-Kirchner-AHZ;Frankfurt (Main) Johanna-Kirchner-AHZ;Stadt Frankfurt a.M;Gutleutviertel;50,09755271;8,647121868
3001463;1463;Main-Neckar-Brücke;Frankfurt (Main) Main-Neckar-Brücke;Stadt Frankfurt a.M;Gutleutviertel;50,09699121;8,654714978
3000113;113;Pforzheimer Straße;Frankfurt (Main) Pforzheimer Straße;Stadt Frankfurt a.M;Gutleutviertel;50,10439696;8,663104465
3001471;1471;Rotfeder-Ring;Frankfurt (Main) Rotfeder-Ring;Stadt Frankfurt a.M;Gutleutviertel;50,09867768;8,656491829
3001472;1472;Rottweiler Platz;Frankfurt (Main) Rottweiler Platz;Stadt Frankfurt a.M;Gutleutviertel;50,10117838;8,660010156
3001978;1978;Zanderstraße;Frankfurt (Main) Zanderstraße;Stadt Frankfurt a.M;Gutleutviertel;50,09981783;8,658985516
3000155;155;DB-Zentrale;Frankfurt (Main) DB-Zentrale;Stadt Frankfurt a.M;Gallusviertel;50,10601764;8,639986375
3060764;60764;Den Haager Straße;Frankfurt (Main) Den Haager Straße;Stadt Frankfurt a.M;Gallusviertel;50,10881084;8,650827441
3060763;60763;Dubliner Straße;Frankfurt (Main) Dubliner Straße;Stadt Frankfurt a.M;Gallusviertel;50,1085608;8,645461178
3000158;158;Eppenhainer Straße;Frankfurt (Main) Eppenhainer Straße;Stadt Frankfurt a.M;Gallusviertel;50,10483865;8,625401874
3060810;60810;Europagarten/Messe West;Frankfurt (Main) Europagarten/Messe West;Stadt Frankfurt a.M;Gallusviertel;50,10820129;8,636782701
3060807;60807;Europaviertel West;Frankfurt (Main) Europaviertel West;Stadt Frankfurt a.M;Gallusviertel;50,10762982;8,623912261
3000152;152;Friedrich-Ebert-Siedlung;Frankfurt (Main) Friedrich-Ebert-Siedlung;Stadt Frankfurt a.M;Gallusviertel;50,09474871;8,624544323
3000104;104;Galluspark;Frankfurt (Main) Galluspark;Stadt Frankfurt a.M;Gallusviertel;50,10028253;8,637331873
3000101;101;Galluswarte;Frankfurt (Main) Galluswarte;Stadt Frankfurt a.M;Gallusviertel;50,10418878;8,64457095
3000018;18;Güterplatz;Frankfurt (Main) Güterplatz;Stadt Frankfurt a.M;Gallusviertel;50,10777595;8,656510516
3000010;10;Hauptbahnhof;Frankfurt (Main) Hauptbahnhof;Stadt Frankfurt a.M;Gallusviertel;50,10680522;8,662710112
3007010;7010;Hauptbahnhof tief;Frankfurt (Main) Hauptbahnhof tief;Stadt Frankfurt a.M;Gallusviertel;50,10715539;8,662553879
3000154;154;Haus Gallus;Frankfurt (Main) Haus Gallus;Stadt Frankfurt a.M;Gallusviertel;50,10485986;8,643531581
3001938;1938;Hohenstaufenstraße;Frankfurt (Main) Hohenstaufenstraße;Stadt Frankfurt a.M;Gallusviertel;50,11068402;8,657929619
3000153;153;Kleyerstraße;Frankfurt (Main) Kleyerstraße;Stadt Frankfurt a.M;Gallusviertel;50,09710372;8,629990528
3000103;103;Kriegkstraße;Frankfurt (Main) Kriegkstraße;Stadt Frankfurt a.M;Gallusviertel;50,10130656;8,63993788
3060808;60808;Maastrichter Ring;Frankfurt (Main) Maastrichter Ring;Stadt Frankfurt a.M;Gallusviertel;50,10845371;8,628491029
3000130;130;Messeparkhaus;Frankfurt (Main) Messeparkhaus;Stadt Frankfurt a.M;Gallusviertel;50,10797411;8,621966448
